r1,r2,r3,r4,r5,r6,r7,shape
8.19,14.530000000000001,17.0,17.849999999999998,15.920000000000002,6.619999999999999,19.89,Oval
8.05,13.66,16.1,16.84,15.9,8.19,21.26,Square
8.51,14.879999999999999,17.16,17.740000000000002,15.43,6.68,19.6,Square
8.41,14.52,16.93,17.83,16.45,5.66,20.19,Oblong
8.44,14.46,16.669999999999998,17.68,16.25,5.9799999999999995,20.53,Square
8.110000000000001,14.14,16.64,17.79,15.1,7.969999999999999,20.26,Oval
8.55,15.03,17.28,17.630000000000003,16.17,5.489999999999999,19.85,Round
8.43,14.71,17.080000000000002,17.94,15.49,6.7,19.650000000000002,Round
8.25,14.16,16.619999999999997,18.099999999999998,15.18,8.04,19.66,Triangle
7.779999999999999,13.370000000000001,16.16,17.06,16.63,7.960000000000001,21.04,Diamond
8.09,14.29,16.89,17.89,16.16,6.239999999999999,20.44,Oblong
8.51,15.18,17.44,18.29,15.079999999999998,6.3100000000000005,19.189999999999998,Square
8.260000000000002,14.42,16.74,17.34,15.879999999999999,7.470000000000001,19.91,Square
8.6,14.530000000000001,16.74,17.78,15.2,7.5,19.66,Square
8.450000000000001,14.81,17.21,17.93,14.96,6.710000000000001,19.93,Oval
8.85,15.02,16.99,17.580000000000002,14.7,7.380000000000001,19.48,Oblong
8.08,14.540000000000001,16.97,17.68,15.290000000000001,7.46,19.98,Oval
8.260000000000002,14.719999999999999,17.21,18.0,15.659999999999998,6.329999999999999,19.82,Oval
8.44,14.56,16.77,17.68,16.31,6.22,20.02,Oval
8.21,14.030000000000001,16.84,18.14,15.98,6.510000000000001,20.28,Triangle
8.290000000000001,14.11,16.33,17.560000000000002,16.21,6.83,20.68,Triangle
8.55,14.64,16.79,17.66,15.8,6.74,19.830000000000002,Round
8.25,14.6,17.28,17.94,15.97,5.92,20.04,Diamond
8.52,14.69,17.14,17.93,16.0,5.88,19.84,Oval
8.52,14.530000000000001,16.86,17.78,15.61,6.75,19.950000000000003,Oblong
8.24,14.069999999999999,16.39,17.19,15.49,8.200000000000001,20.43,Diamond
7.920000000000001,13.86,16.400000000000002,17.18,16.439999999999998,7.31,20.89,Oblong
8.66,15.15,17.419999999999998,18.11,14.799999999999999,6.67,19.2,Round
8.24,14.430000000000001,16.98,17.83,15.540000000000001,6.64,20.349999999999998,Oval
8.01,14.06,16.63,17.549999999999997,16.150000000000002,7.249999999999999,20.349999999999998,Oblong
7.4399999999999995,13.48,16.54,17.71,15.229999999999999,8.559999999999999,21.04,Triangle
8.25,14.280000000000001,16.78,17.8,16.38,6.2700000000000005,20.25,Square
8.49,14.330000000000002,16.63,17.86,15.440000000000001,6.959999999999999,20.28,Square
8.41,14.56,16.6,17.4,14.940000000000001,8.0,20.080000000000002,Oblong
7.91,13.900000000000002,16.7,17.76,16.45,6.54,20.74,Triangle
8.09,13.63,15.939999999999998,16.75,16.23,8.200000000000001,21.16,Oblong
8.53,14.89,17.25,17.97,15.57,6.069999999999999,19.73,Square
8.34,14.29,16.669999999999998,17.549999999999997,16.619999999999997,6.17,20.349999999999998,Oval
8.35,14.26,16.75,17.8,16.09,6.4399999999999995,20.31,Square
8.14,13.98,16.46,17.599999999999998,16.03,7.16,20.630000000000003,Square
8.62,14.860000000000001,17.330000000000002,18.12,15.879999999999999,5.62,19.57,Round
7.99,14.099999999999998,16.689999999999998,17.7,15.15,8.41,19.97,Round
